year,species,length_wet_cm,weight_wet_grams,weight_froz_grams,length_frozen_cm,,,,,,,,,,,,,,,,,
2001,Chum,nd,nd,20,122,,,,,,,,,,,,,,,,,
2001,Chum,122,19,18,120,,,,,,,,,,,,,,,,,
2001,Chum,146,35,33,144,,,,,,,,,,,,,,,,,
2001,Chum,131,22,0,128,,,,,,,,,,,,,,,,,
2001,Chum,118,11,15,117,,,,,,,,,,,,,,,,,
2001,Chum,119,14,16,nd,,,,,,,,,,,,,,,,,
2001,Chum,126,16,21,128,,,,,,,,,,,,,,,,,
2001,Chum,130,12,20,nd,,,,,,,,,,,,,,,,,
2001,Chum,124,13,16,124,,,,,,,,,,,,,,,,,
2001,Chum,122,12,17,117,,,,,,,,,,,,,,,,,
2001,Chum,122,15,18,123,,,,,,,,,,,,,,,,,
2001,Chum,130,18,20,124,,,,,,,,,,,,,,,,,
2001,Chum,130,18,23,nd,,,,,,,,,,,,,,,,,
2001,Chum,117,14,16,117,,,,,,,,,,,,,,,,,
2001,Chum,125,12,19,125,,,,,,,,,,,,,,,,,
2001,Coho,289,290,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,288,298,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,267,227,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,288,284,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,174,69,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,226,135,nd,nd,,,,,,,,,,,,,,,,,
2001,Coho,243,187,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,487,1750,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,515,1360,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,495,1250,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,484,1290,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,502,1420,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,482,1228,nd,nd,,,,,,,,,,,,,,,,,
2001,Pink,459,770,nd,nd,,,,,,,,,,,,,,,,,
